Date,open,high,low,close,volume
2025-12-24,1011.0,1037.4000244140625,1006.0,1011.7000122070312,5984816
2025-12-26,1011.7000122070312,1011.7000122070312,998.0,1000.0,5211460
2025-12-29,1003.0,1003.9000244140625,989.5999755859375,998.0,6715489
2025-12-30,994.0999755859375,997.5999755859375,987.0999755859375,989.2999877929688,7473887
2025-12-31,990.0,994.2000122070312,978.4000244140625,986.7999877929688,9895270
2026-01-01,988.2000122070312,989.0,969.0,973.0999755859375,7118751
2026-01-02,972.9000244140625,994.2000122070312,960.5999755859375,990.4500122070312,6206869
2026-01-05,979.7000122070312,999.1500244140625,975.0,978.75,10564157
2026-01-06,978.0,987.0,973.2999877929688,977.3499755859375,8380183
2026-01-07,973.0499877929688,976.4500122070312,965.0499877929688,968.7999877929688,7048491
2026-01-08,968.5,978.3499755859375,965.2999877929688,971.9500122070312,4410256
2026-01-09,970.0999755859375,983.0,953.7000122070312,959.5999755859375,7598970
2026-01-12,958.7999877929688,961.4000244140625,939.8499755859375,951.9000244140625,5640136
2026-01-13,950.0,955.8499755859375,939.0,949.0,6765116
2026-01-14,947.0,953.9000244140625,943.1500244140625,945.9500122070312,4452202
2026-01-15,945.9500122070312,945.9500122070312,945.9500122070312,945.9500122070312,0
2026-01-16,940.2000122070312,963.0,936.7999877929688,950.25,10710080
2026-01-19,950.5,972.9000244140625,948.8499755859375,969.4500122070312,7000442
2026-01-20,975.7000122070312,975.7000122070312,927.9000244140625,933.2000122070312,9001207
2026-01-21,925.0,947.2999877929688,921.0,936.25,5375254
2026-01-22,947.0,947.0,934.25,942.8499755859375,5518756
2026-01-23,942.8499755859375,951.4000244140625,926.2999877929688,927.8499755859375,6535035
2026-01-27,930.0,931.9500122070312,907.7000122070312,914.7000122070312,15312488
2026-01-28,914.7000122070312,936.9000244140625,914.7000122070312,935.1500244140625,6046468
2026-01-29,935.1500244140625,939.7999877929688,923.7000122070312,935.1500244140625,6430445
2026-01-30,928.3499755859375,938.0,925.1500244140625,929.8499755859375,10151379
2026-02-02,887.0,909.4000244140625,887.0,903.7000122070312,11874989
2026-02-03,960.0,972.7999877929688,941.9000244140625,964.4000244140625,15261370
2026-02-04,965.0,975.7000122070312,944.1500244140625,963.2999877929688,17489015
2026-02-05,964.0,968.5,953.0,964.75,6020258
2026-02-06,973.9500122070312,986.5,966.0999755859375,981.7000122070312,13742927
2026-02-09,988.0,988.0,971.5999755859375,983.1500244140625,4852548
2026-02-10,983.1500244140625,985.1500244140625,961.2999877929688,965.5999755859375,6166752
2026-02-11,965.2999877929688,974.5,961.4000244140625,968.9500122070312,3597342
2026-02-12,968.2999877929688,1002.0,965.0,999.0999755859375,10346853
2026-02-13,995.0,1032.0,992.7999877929688,1024.75,21613987
2026-02-16,1023.0499877929688,1029.300048828125,1003.2999877929688,1012.75,4460636
2026-02-17,1012.75,1016.3499755859375,1004.0,1014.1500244140625,2913899
2026-02-18,1014.5499877929688,1025.699951171875,1007.0499877929688,1023.7999877929688,4929647
2026-02-19,1024.0,1024.5,1007.0,1017.0499877929688,9866245
2026-02-20,1015.9000244140625,1036.5999755859375,1008.75,1030.199951171875,6922705
2026-02-23,1032.449951171875,1046.0,1029.050048828125,1031.0,9452225
2026-02-24,1026.300048828125,1028.75,1010.2999877929688,1023.5499877929688,6610984
2026-02-25,1028.0,1034.0,1013.4000244140625,1021.0499877929688,3182612
2026-02-26,1020.75,1031.199951171875,1006.0499877929688,1012.9500122070312,4336261
2026-02-27,1008.9500122070312,1014.9000244140625,993.0999755859375,995.9000244140625,8145772
2026-03-02,971.0,990.4000244140625,968.0,978.25,8493269
